909	284
855	284
800	284
887	284
813	285
757	285
701	285
645	285
586	285
529	285
454	285
910	313
855	313
800	313
887	314
814	314
758	314
702	314
645	314
588	314
530	301
455	301
911	327
856	328
943	328
888	328
815	328
758	329
702	329
646	329
589	330
532	330
456	330
912	356
857	357
801	357
888	357
815	357
759	358
703	358
646	359
590	359
533	359
458	360
912	371
857	371
944	372
890	372
817	372
761	373
704	373
647	374
590	374
534	374
458	374
913	399
858	400
804	401
891	401
818	401
762	402
705	402
648	403
591	403
534	403
459	404
913	414
858	414
804	415
891	416
818	416
762	416
706	417
650	418
592	418
535	419
460	419
914	443
859	443
805	444
874	445
819	445
763	445
707	446
650	447
593	448
535	448
460	449
915	472
859	472
806	473
893	474
819	474
763	474
707	475
651	476
594	477
537	477
462	478
